Type,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Pasta,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.900000,796.100000,628.500000,838.000000,670.400000,670.400000,502.800000,125.700000,0.000000,1221.750000,756.000000,567.000000,484.200000,1278.950000,810.400000,553.850000,1316.500000,1661.100000,1514.000000,688.000000,1314.100000,2040.000000,2217.000000,1947.950000,1416.000000,397.000000,0.000000,0.000000,0.000000,1661.000000,1948.500000,720.500000,4197.507739,2414.000000,3051.585737,2631.812149,1925.193787,43007.699413,33417.260000,9590.439413,0.222994,0.000000
Cosmetics,0.000000,0.000000,196.430000,171.930000,171.450000,501.340000,777.000000,0.000000,574.800000,247.700000,280.600000,83.800000,83.800000,75.800000,49.900000,0.000000,49.900000,68.250000,0.000000,375.150000,653.750000,224.500000,136.500000,136.500000,178.500000,878.500000,951.000000,789.000000,697.250000,608.000000,1265.250000,1133.000000,260.000000,0.000000,0.000000,120.000000,3604.000000,1425.000000,776.000000,1837.000000,1183.750000,5253.898035,7167.699851,4266.387859,37253.335746,28487.080000,8766.255746,0.235315,0.000000
Sweeteners,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.900000,262.000000,161.400000,338.200000,468.100000,367.060000,352.580000,271.560000,187.040000,159.605000,132.360000,88.240000,110.300000,772.800000,305.800000,145.560000,0.000000,82.120000,263.000000,62.000000,123.000000,335.000000,907.000000,1214.000000,1056.000000,159.000000,0.000000,0.000000,447.000000,6676.000000,3677.500474,770.597938,2788.000000,2103.000000,4528.650000,2376.654903,2796.000000,34505.028315,26522.210000,7982.818315,0.231352,0.000000
Rice,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,203.100000,519.100000,480.700000,405.700000,583.300000,646.800000,513.850000,98.800000,89.300000,953.350000,715.200000,652.050000,504.000000,445.950000,294.950000,237.450000,592.200000,1766.100000,1418.000000,1664.250000,1020.000000,1555.000000,1615.000000,1293.000000,1408.000000,317.500000,0.000000,0.000000,96.000000,2484.750000,2204.900000,1460.276382,1439.618221,1669.500000,1382.362712,1919.437610,1178.534951,33828.029875,26094.410000,7733.619875,0.228616,0.000000
Snacks,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,378.700000,408.800000,308.300000,167.500000,311.700000,348.600000,107.300000,103.900000,167.850000,393.750000,299.250000,182.250000,120.450000,425.700000,114.500000,94.500000,77.750000,0.000000,72.000000,0.000000,112.000000,248.000000,776.000000,287.000000,0.000000,0.000000,0.000000,1547.000000,6573.000000,2901.550000,901.408100,3463.261702,4665.500000,2814.640000,3838.684955,1471.083333,33681.928090,25090.180000,8591.748090,0.255085,0.000000
Honey,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,12.000000,0.000000,24.000000,0.000000,0.000000,3.000000,0.000000,9.000000,12.000000,0.000000,0.000000,3.000000,203.000000,118.000000,12.000000,447.000000,432.000000,390.000000,1074.000000,540.000000,1041.000000,967.900000,944.000000,48.000000,0.000000,0.000000,400.000000,2720.000000,581.100000,504.000000,4555.604396,3248.000000,6375.364609,6220.059820,2249.435445,33139.464269,24029.290000,9110.174269,0.274904,0.000000
Chemical free poultry,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,592.000000,1887.000000,3996.000000,2849.000000,1406.000000,4081.400000,4088.400000,7637.300000,1029.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27566.100000,22850.840000,4715.260000,0.171053,0.000000
Sea Food,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,496.000000,3782.000000,1753.400000,1636.000000,1917.843537,3235.600000,2623.000000,4786.037733,6978.478371,27208.359641,18242.280000,8966.079641,0.329534,0.000000
Fresh veal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248.000000,936.000000,2184.000000,1560.000000,728.000000,1352.000000,1560.000000,1664.000000,832.000000,2184.000000,936.000000,1144.000000,1248.000000,1560.000000,832.000000,624.000000,1352.000000,2184.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24128.000000,18480.000000,5648.000000,0.234085,0.000000
Eggs,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.000000,357.000000,714.000000,882.000000,819.000000,756.000000,503.000000,678.000000,853.000000,1800.200000,2035.600000,325.000000,0.000000,0.000000,44.000000,2273.000000,1778.000000,1124.000000,1856.000000,2040.015094,1820.000000,2019.300135,987.540126,23706.655355,18255.700000,5450.955355,0.229934,0.000000
