Product,Brand,Type,Date,Revenue,Gross Profit,CMGR,Average Revenue,Average Gross Profit,%Total Revenue,% Variation from Average,%Total Gross Profit
ALMOND MILK WITH VANILLA,Pure almond,Non-dairy milk,2014-05-01,85.5,18.12,5.94630943593,27.9462703296,7.11853072209,0.0037423454395,205.94422437,0.0031136474965
ALMOND ORIGINAL (ORIGINAL),0,Non-dairy milk,2014-11-01,64.0,16.0,13.0115783429,27.9462703296,7.11853072209,0.00280128781436,129.010881399,0.0027493576128
ALMOND ORIGINAL (ORIGINAL),0,Non-dairy milk,2014-12-01,448.0,112.0,13.0115783429,27.9462703296,7.11853072209,0.0196090147005,1503.0761698,0.0192455032896
ALMOND'S AND OATS BODY SCRUB,0,Cosmetics,2014-10-01,70.0,14.0,0.0,27.9462703296,7.11853072209,0.00306390854696,150.480651531,0.0024056879112
ALMONDS SHELL ON - ROASTED & SALTED / 250G,NGS,Dried Fruits & Nuts,2012-08-01,21.43,3.18,6.19565586388,27.9462703296,7.11853072209,0.000937993716589,-23.3171376814,0.000546434825545
ALMONDS SHELL ON - ROASTED & SALTED / 250G,NGS,Dried Fruits & Nuts,2012-10-01,85.72,12.72,6.19565586388,27.9462703296,7.11853072209,0.00375197486636,206.731449274,0.00218573930218
ALMONDS SHELL ON - ROASTED & SALTED / 250G,NGS,Dried Fruits & Nuts,2012-11-01,85.72,12.72,6.19565586388,27.9462703296,7.11853072209,0.00375197486636,206.731449274,0.00218573930218
ALMONDS SHELL ON - ROASTED & SALTED / 250G,NGS,Dried Fruits & Nuts,2013-02-01,21.43,3.18,6.19565586388,27.9462703296,7.11853072209,0.000937993716589,-23.3171376814,0.000546434825545
ALMONDS SHELL ON - ROASTED & SALTED / 250G,NGS,Dried Fruits & Nuts,2013-03-01,22.5,4.25,6.19565586388,27.9462703296,7.11853072209,0.000984827747236,-19.488362008,0.000730298115901
ALMONDS SHELL ON - ROASTED & SALTED / 250G,NGS,Dried Fruits & Nuts,2013-06-01,65.0,28.25,6.19565586388,27.9462703296,7.11853072209,0.00284505793646,132.589176421,0.00485433453511
