Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
APPRICOT,NGS,Fruits,439.328571,151.458571,9.33918400609,10.0,0.0192294651944,1229.6358945,313.21535177,-64.2716536687,0.0260258609504
APRICOT JAM (NATURAL),0,Jam,120.0,30.0,0.0,7.0,0.00525241465193,1229.6358945,313.21535177,-90.2410135767,0.00515504552404
ARGAN OIL HAIR CONDITIONER,Healing Herbs,Cosmetics,300.0,60.0,4.25290903579,22.0,0.0131310366298,1229.6358945,313.21535177,-75.6025339418,0.0103100910481
ARTICHOKE,NGS,Fresh vegetables,117.0,26.91,3.23683590554,37.0,0.00512110428563,1229.6358945,313.21535177,-90.4849882373,0.00462407583507
ARUGULA ( AQUAPONIC ),Bustan,Aquaponic vegetables,68.75,13.75,3.33979881212,24.0,0.00300919589434,1229.6358945,313.21535177,-94.4089140283,0.00236272919852
ARUGULA ( CHEMICAL FREE ),NGS,Fresh vegetables,104.0,21.06,2.93729260755,19.0,0.00455209269834,1229.6358945,313.21535177,-91.5422117665,0.00361884195788
ARUGULA - CHEMICAL FREE (AQUAPONIC),0,Vegetables,24.0,8.0,0.0,5.0,0.00105048293039,1229.6358945,313.21535177,-98.0482027153,0.00137467880641
ARUGULA(CHEMICAL FREE),0,Chemical free vegetables,330.0,75.0,9.35324295605,18.0,0.0144441402928,1229.6358945,313.21535177,-73.162787336,0.0128876138101
ARUGULA(CHEMICAL FREE),0,Vegetables,1251.526413,453.376413,35.3870649575,12.0,0.0547794639077,1229.6358945,313.21535177,1.78024394047,0.0779058682847
ASHWAGANDHA ROOT,"Starwest Botanicals,Inc.",Herbs,329.0,45.5,5.11608574875,39.0,0.0144003701707,1229.6358945,313.21535177,-73.2441122228,0.00781848571146
ASPARAGUS (CHEMICAL FREE),0,Chemical free vegetables,1052.8,282.8,2.85129135058,17.0,0.0460811845463,1229.6358945,313.21535177,-14.381159113,0.0485948958066
AUBERGENE (ROUMY),NGS,Fresh vegetables,28.0,4.0,7.77794886229,23.0,0.00122556341878,1229.6358945,313.21535177,-97.7229031679,0.000687339403206
AUBERGENE (ROUMY) - CHEMICAL FREE,NGS,Fresh vegetables,445.0,98.88,15.9200533017,21.0,0.0194777043342,1229.6358945,313.21535177,-63.810425347,0.0169910300472
AUBERGENE (ROUMY) - ORGANIC,0,Vegetables,764.661125,347.201125,52.0693129927,12.0,0.0334693108059,1229.6358945,313.21535177,-37.8140205226,0.0596612535125
AUBERGINE (ROUMY),Kheir Misr,Fresh vegetables,245.037955,42.167955,10.9057897662,40.0,0.0107253412093,1229.6358945,313.21535177,-80.072316033,0.00724592425602
AUBERGINE AROUS BLACK,NGS,Fresh vegetables,21.0,3.2,1.47367585551,23.0,0.000919172564088,1229.6358945,313.21535177,-98.2921773759,0.000549871522564
AUBERGINE AROUS WHITE,NGS,Fresh vegetables,13.25,3.25,3.32097973508,23.0,0.000579954117818,1229.6358945,313.21535177,-98.9224452491,0.000558463265105
AUSTRALIAN BEEF FILLET,NGS,Australian beef,250.0,110.0,0.0,39.0,0.0109425305249,1229.6358945,313.21535177,-79.6687782848,0.0189018335882
