Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
281170,Cornbread Mix (gluten free),<p>567g</p>,Hv,Baking products,"gluten free, Whole grain",true,Title,Default Title,,,,,281170,0,shopify,0,deny,manual,40.00,,true,,,https://cdn.shopify.com/s/files/1/0106/4982/products/Cornbread_mix.jpg?v=1450797500,,false,,,,,,,,,,,,,,,,,kg
281201,Corn & Quinoa Pasta Spaghetti (gluten free),<p>227g</p>,Hv,Pasta,"gluten free, Non gmo, pasta, Weight loss",true,Title,Default Title,,,,,281201,0,shopify,0,deny,manual,50.00,,true,,,,,false,,,,,,,,,,,,,,,,,kg
281202,Chlorella Powder,<p>113g</p>,Hv,Food supplements,"Organic, Super food, Vegan, Vegetarian",true,Title,Default Title,,,,,281202,0,shopify,4,deny,manual,180.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281191,Basmati Brown Rice (gluten free),<p>765g</p>,Hv,Rice,"gluten free, Non-GMO, Vegan, Vegetarian, Whole grain",true,Title,Default Title,,,,,281191,0,shopify,4,deny,manual,60.00,,true,false,,,,false,,,,,,,,,,,,,,,,,kg
281173,Buckwheat Toasted Kasha (organic),<p>510g</p>,Hv,Grains,"Organic, Vegan, Vegetarian, Whole grain",true,Title,Default Title,,,,,281173,0,shopify,4,deny,manual,100.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281192,Black Pearl Rice,<p>453g</p>,Hv,Rice,"gluten free, Non-GMO, Vegan, Vegetarian, Whole grain",true,Title,Default Title,,,,,281192,0,shopify,6,deny,manual,50.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281178,Brown Rice Flakes - toasted (organic),<p>454g</p>,Hv,Cereal,"Weight loss, Whole grain",true,Title,Default Title,,,,,281178,0,shopify,12,deny,manual,35.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281169,Beans Small White,<p>822g</p>,Hv,Grains,"Dried; Grains; Soup, Vegetarian; Vegan",true,Title,Default Title,,,,,281169,0,shopify,4,deny,manual,60.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281184,Brown Rice Cracker (gluten free),<p>75g</p>,Hv,Snacks,"Organic, Vegan, Vegetarian",true,Title,Default Title,,,,,281184,0,shopify,20,deny,manual,40.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
901004,Christmas Cookies Baking Pack (Gluten Free),"<p class=""MsoNormal"">Raw Organic Honey 250g</p>
<p class=""MsoNormal"">Low Carb Baking Mix Flour 453g</p>
<p class=""MsoNormal"">Almond Butter with Raisins and Cinnamon 350g</p>
<p class=""MsoNormal"">Lime 500g</p>
<p class=""MsoNormal"">Organic Eggs 10 pieces</p>
<p> </p>
<p class=""MsoNormal"">Baking Soda 453g</p>",NGS,Bundles,"Cookies, Eggs, Flour, honey, Promotions",true,Title,Default Title,,,,,901004,0,,0,deny,manual,267.00,,true,false,"",https://cdn.shopify.com/s/files/1/0106/4982/products/Christmas_Baking_Pack.jpg?v=1450624738,,false,,,,,,,,,,,,,,,,,kg
901003,Christmas Breakfast Pack,"<p class=""MsoNormal"">Waffles 6 pieces</p>
<p class=""MsoNormal"">Raw Organic Honey 250g</p>
<p class=""MsoNormal"">Goji Berries  250g</p>
<p class=""MsoNormal"">Almonds  250g</p>",NGS,Bundles,"Dried fruit, honey, Nuts, Promotions",true,Title,Default Title,,,,,901003,0,,0,deny,manual,192.00,,true,false,,https://cdn.shopify.com/s/files/1/0106/4982/products/Christmas_Breakfast_pack.jpg?v=1450624400,,false,,,,,,,,,,,,,,,,,kg
10002,Wild Red Mullet (Barboun),"<p>475g - 525g (6 fish)</p>
<p>Local (frozen)</p>",ABO,Sea Food,"Fish, Frozen, Local",true,Title,Default Title,,,,,10002,0,shopify,0,deny,manual,64.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
831001,Oranges,<p>Price per 1Kg</p>,Bel Hana Farm,Fruits,Fresh,true,Title,Default Title,,,,,831001,0,shopify,5,deny,manual,8.00,8.00,true,false,,,,false,,,,,,,,,,,,,,,,,kg
291015,Wheat germ,<p>200g</p>,IMN,Baking products,"Baking Products, Chemical free, Grains & Seeds, Whole grain",true,Title,Default Title,,,,,291015,0,shopify,10,deny,manual,23.00,,true,false,,,,false,,,,,,,,,,,,,,,,,kg
621003,NGS quinoa local (chemical free),<p>500 g</p>,EGY VEGGIE,Grains,"High performance, Organic, super foods, Whole grain",true,Title,Default Title,,,,,621003,0,shopify,7,deny,manual,44.00,,true,,,https://cdn.shopify.com/s/files/1/0106/4982/products/NGS_Quinoa.jpg?v=1450799484,,false,,,,,,,,,,,,,,,,,kg
