Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Gross Profit,Revenue,Cost of Goods,Margin,Tax
Watercress (chemical free),341046,,,MAKAR,Vegetables,"Fresh, Greens",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.000000,47.000000,6.000000,51.000000,39.000000,46.465844,21.000000,4.400000,15.000000,289.865844,839.865844,550.000000,0.345134,0.000000
Italian basil (chemical free),341020,,,MAKAR,Herbs,"Fresh, Chemical free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,43.000000,30.000000,53.248826,18.000000,60.000000,25.570000,12.000000,12.000000,287.818826,796.248826,508.430000,0.361468,0.000000
Celery (chemical free),501009,,,Tabiey,Herbs,"Fresh, Chemical free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.350000,5.000000,0.000000,0.000000,48.000000,51.000000,84.697931,16.320000,15.000000,255.367931,677.207931,421.840000,0.377089,0.000000
Chives (chemical free),341010,,,MAKAR,Vegetables,"Fresh, Chemical free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.000000,10.000000,10.000000,66.905078,20.000000,27.009363,20.351806,7.000000,21.000000,204.266248,658.926248,454.660000,0.309999,0.000000
Cherry tomato (chemical free),341051,,,MAKAR,Vegetables,"Fresh, Chemical free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,102.840000,60.000000,43.000000,25.600000,36.000000,-6.000000,0.000000,0.000000,3.000000,280.440000,640.000000,359.560000,0.438188,0.000000

Gross Profit,,,,,,,0.000000,0.000000,710.000000,420.000000,610.000000,680.000000,80.000000,536.780000,2171.970000,2740.730000,2911.090000,2397.020000,3065.980000,2610.950000,1525.610000,1144.970000,3424.310000,2199.960000,2937.250000,2115.606977,2035.820000,1759.130000,2454.440000,3043.560000,4137.380000,2749.270000,3857.190000,5754.980000,7449.995000,7160.530000,8038.870000,7843.360000,1839.130000,0.000000,0.000000,867.800000,30837.100000,15361.642607,9337.481896,17047.077518,19468.362042,25810.701542,26994.781894,24455.697994,14883.542545
Revenue,,,,,,,0.000000,0.000000,710.000000,420.000000,610.000000,680.000000,80.000000,1606.830000,6898.330000,9077.280000,9670.840000,7575.670000,10337.020000,7708.970000,4659.270000,3992.940000,12340.240000,7542.180000,11253.150000,7251.526977,6987.820000,5913.970000,9126.210000,10487.050000,14204.850000,13049.140000,13331.060000,17337.220000,26262.215000,22473.650000,24199.830000,21740.940000,5033.600000,0.000000,0.000000,1711.300000,91582.430000,50121.692607,28467.631896,50252.847518,58340.122042,73990.601542,76767.381894,74495.697994,43522.982545
Cost of Goods,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1070.050000,4726.360000,6336.550000,6759.750000,5178.650000,7271.040000,5098.020000,3133.660000,2847.970000,8915.930000,5342.220000,8315.900000,5135.920000,4952.000000,4154.840000,6671.770000,7443.490000,10067.470000,10299.870000,9473.870000,11582.240000,18812.220000,15313.120000,16160.960000,13897.580000,3194.470000,0.000000,0.000000,843.500000,60745.330000,34760.050000,19130.150000,33205.770000,38871.760000,48179.900000,49772.600000,50040.000000,28639.440000
Margin,,,,,,,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.334061,0.314854,0.301933,0.301017,0.316410,0.296602,0.338690,0.327435,0.286749,0.277491,0.291688,0.261016,0.291746,0.291338,0.297453,0.268944,0.290221,0.291265,0.210686,0.289339,0.331944,0.283677,0.318619,0.332187,0.360765,0.365371,0.000000,0.000000,0.507100,0.336714,0.306487,0.328003,0.339226,0.333705,0.348838,0.351644,0.328283,0.341970
Tax,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
