Date,Revenue,Gross Profit,Type
2012-08-01,0.0,0.0,Fruits & Vegetables
2012-08-01,455.0,455.0,General
2012-08-01,0.0,0.0,Gluten free baking
2012-08-01,0.0,0.0,Grains
2012-08-01,984.83,127.13,Grains & Cereal
2012-08-01,0.0,0.0,Healthy & Supper food juices
2012-08-01,0.0,0.0,Herb
2012-08-01,58.5,8.5,Herbal Drinks
2012-08-01,0.0,0.0,Herbal pharmacy
2012-08-01,0.0,0.0,Herbs
2012-08-01,0.0,0.0,Herbs and spices
2012-08-01,0.0,0.0,Home appliance
2012-08-01,0.0,0.0,Honey
2012-08-01,86.45,19.95,Honey & Sweeteners
2012-08-01,0.0,0.0,Jam
2012-08-01,0.0,0.0,Jams and Spreads
2012-08-01,0.0,0.0,Japanese cuisine
2012-08-01,0.0,0.0,Juices
2012-08-01,0.0,0.0,Lamb
2012-08-01,0.0,0.0,Milk
2012-08-01,0.0,0.0,No Type
2012-08-01,0.0,0.0,Non-dairy milk
2012-08-01,0.0,0.0,Nut butter
2012-08-01,0.0,0.0,Nuts
2012-08-01,0.0,0.0,Nuts & Dried Fruits
2012-08-01,0.0,0.0,Oil
2012-08-01,0.0,0.0,Oil & Vinegar
2012-08-01,0.0,0.0,Oils
2012-08-01,0.0,0.0,Organic fresh fruits & vegetables
2012-08-01,0.0,0.0,Organic herbs
2012-08-01,0.0,0.0,Pasta
2012-08-01,0.0,0.0,Paste
2012-08-01,0.0,0.0,Poultry
2012-08-01,0.0,0.0,Prepared food
2012-08-01,0.0,0.0,Rice
2012-08-01,0.0,0.0,Rice & Pasta
2012-08-01,0.0,0.0,Ricenpasta
2012-08-01,0.0,0.0,Sauces
2012-08-01,0.0,0.0,Sea Food
2012-08-01,152.61,40.26,Seeds
2012-08-01,0.0,0.0,Snacks
2012-08-01,0.0,0.0,Soda
2012-08-01,182.5,55.0,Soy Products
2012-08-01,0.0,0.0,Spices
2012-08-01,1581.24,339.35,Super foods
2012-08-01,0.0,0.0,Sweeteners
2012-08-01,0.0,0.0,Tea
2012-08-01,0.0,0.0,Teas & Herbs
2012-08-01,0.0,0.0,Veal
2012-08-01,0.0,0.0,Vegetable
2012-08-01,0.0,0.0,Vegetables
2012-08-01,0.0,0.0,Vinegar
2012-08-01,0.0,0.0,Whole sale
2012-08-01,0.0,0.0,cheese
2012-08-01,0.0,0.0,cosmetics
2012-08-01,0.0,0.0,milk
2012-08-01,0.0,0.0,organic dried fruits
2012-08-01,0.0,0.0,pickles
2012-08-01,0.0,0.0,spreads
2012-08-01,0.0,0.0,whole grain
